angle_90,r,area_ellipse,area_contour,scale,eccentricity,norm_r,norm_area_ellipse,norm_area_contour,label
0.434,108.965,15557.672,12151,0.194,0.865,0.762017118,0.663375241,0.737172775,a
0.438,109.578,15745.239,12261,0.196,0.865,0.771992059,0.675745672,0.748142608,a
0.439,109.375,15877.82,12245,0.196,0.87,0.768688775,0.684489663,0.746546996,a
0.436,109.478,15931.144,12394,0.198,0.867,0.770364826,0.688006491,0.761406133,a
0.438,108.528,15656.456,12366.5,0.198,0.881,0.754906109,0.66989025,0.758663675,a
0.437,108.75,15574.61,12223,0.196,0.878,0.758518567,0.664492337,0.744353029,a
0.437,109.401,15616.43,12416,0.199,0.878,0.769111856,0.667250452,0.7636001,a
0.437,109.426,15645.376,12216.5,0.195,0.872,0.769518664,0.669159501,0.743704812,a
0.431,109.518,15820.586,12518.5,0.2,0.871,0.771015719,0.680714963,0.77382199,a
0.436,110.316,15820.337,12482,0.2,0.869,0.784001041,0.680698541,0.770182,a
0.437,110.066,16080.349,12551.5,0.201,0.874,0.779932958,0.697846869,0.777112939,a
0.431,114.085,17070.95,13211,0.211,0.877,0.845331467,0.763179053,0.842882074,a
0.432,114.867,16968.45,13455,0.215,0.879,0.858056432,0.756418966,0.867215158,a
0.434,114.86,17016.591,13183,0.211,0.881,0.857942526,0.759593965,0.840089753,a
0.437,113.498,16899.185,13359.5,0.214,0.885,0.835779608,0.751850796,0.857691349,a
0.434,113.672,16896.35,13174.5,0.211,0.883,0.838610994,0.751663822,0.839242084,a
0.434,114.112,16943.463,13163,0.211,0.875,0.84577082,0.754771022,0.838095238,a
0.434,114.091,17040.258,12864.5,0.206,0.867,0.845429101,0.761154852,0.8083271,a
0.437,113.323,16843.08,13028.5,0.208,0.878,0.832931949,0.748150556,0.824682124,a
0.436,112.14,16686.082,12984,0.208,0.877,0.813681778,0.737796213,0.820244328,a
0.439,112.076,16483.5,12866.5,0.206,0.878,0.812640349,0.724435511,0.808526552,a
0.441,110.911,16334.407,12914,0.207,0.883,0.79368308,0.71460252,0.813263525,a
0.437,111.332,15992.416,12714,0.203,0.883,0.800533733,0.692047506,0.793318374,a
0.44,109.392,15834.14,12506,0.2,0.879,0.768965405,0.681608877,0.772575418,a
0.439,109.389,16019.734,12522,0.2,0.87,0.768916588,0.693849185,0.77417103,a
0.439,108.823,15967.036,12372,0.198,0.874,0.759706447,0.690373643,0.759212167,a
0.444,107.901,15506.626,12275.5,0.196,0.889,0.744703355,0.660008652,0.749588631,a
0.443,107.383,15257.301,12047,0.193,0.889,0.736274286,0.643565152,0.726801296,a
0.442,107.565,15444.791,12143.5,0.194,0.885,0.739235851,0.655930506,0.736424832,a
0.439,107.898,15554.07,12030,0.192,0.879,0.744654538,0.663137681,0.725105959,a
0.441,106.403,15072.83,11805.5,0.189,0.881,0.720327399,0.631398909,0.702717527,a
0.441,104.643,14935.602,11921.5,0.191,0.887,0.691688092,0.622348438,0.714285714,a
0.441,105.597,14883.491,11924,0.191,0.888,0.707211898,0.61891161,0.714535029,a
0.444,105.859,15147.723,11875,0.19,0.883,0.71147525,0.636338257,0.709648467,a
0.44,105.721,14986.688,11753.5,0.188,0.882,0.709229668,0.625717666,0.697531788,a
0.442,105.704,14890.043,11754,0.188,0.885,0.708953038,0.619343728,0.69758165,a
0.443,104.95,14979.748,11801,0.189,0.887,0.696683698,0.625259958,0.702268761,a
0.446,102.512,14547.074,11546.5,0.185,0.888,0.657011749,0.596724214,0.676888556,a
0.442,105.219,14749.869,11740.5,0.188,0.89,0.701060956,0.610098963,0.696235353,a
0.44,106.467,14690.538,11549.5,0.185,0.882,0.721368829,0.606185961,0.677187734,a
0.445,105.981,14613.404,11672.5,0.187,0.894,0.713460475,0.601098814,0.689454001,a
0.439,105.515,14627.474,11588.5,0.185,0.886,0.705877567,0.60202676,0.681077038,a
0.443,108.199,15247.976,11867.5,0.19,0.873,0.749552511,0.642950149,0.708900524,a
0.44,107.673,15060.69,11938,0.191,0.886,0.740993263,0.630598251,0.715931189,a
0.439,108.67,15342.955,11928,0.191,0.879,0.75721678,0.649214211,0.714933932,a
0.441,108.582,15470.499,12116,0.194,0.882,0.755784815,0.657626001,0.733682373,a
0.44,106.953,14881.627,11904.5,0.19,0.894,0.729277183,0.618788676,0.712590376,a
0.442,107.275,15135.966,12068.5,0.193,0.891,0.734516874,0.635562858,0.7289454,a
0.438,107.892,15310.501,12060,0.193,0.881,0.744556904,0.647073802,0.728097731,a
0.438,107.358,15464.496,12133.5,0.194,0.883,0.735867478,0.657230091,0.735427574,a
0.439,108.798,15833.815,12266.5,0.196,0.874,0.759299639,0.681587443,0.748691099,a
0.441,107.628,15314.126,12137,0.194,0.886,0.740261008,0.647312879,0.735776614,a
0.438,111.284,16449.589,12664.5,0.203,0.876,0.799752661,0.722199011,0.78838195,a
0.428,111.646,16477.051,13090.5,0.209,0.883,0.805643245,0.724010186,0.830865121,a
0.419,112.047,16331.774,12954,0.207,0.882,0.812168451,0.714428868,0.817252555,a
0.396,113.842,16718.847,12916,0.207,0.874,0.84137729,0.739957132,0.813462977,a
0.433,109.721,16266.797,12779.5,0.204,0.877,0.774319003,0.7101435,0.799850411,a
0.494,103.421,15501.925,12205.5,0.195,0.844,0.6718033,0.659698611,0.742607828,a
0.487,103.733,15637.224,12296,0.197,0.833,0.676880268,0.66862186,0.751633009,a
0.159,118.614,20661.754,14083.5,0.225,0.395,0.919028867,1,0.929892795,b
0.253,117.64,20231.039,14111.5,0.226,0.445,0.903179614,0.971593455,0.932685116,b
0.234,116.411,19995.483,14018.5,0.224,0.473,0.883180916,0.95605805,0.923410621,b
0.291,115.029,19341.155,14421.5,0.231,0.428,0.860692551,0.912903766,0.9636001,b
